company_id,company_name,search_aliases,seed_row_ids,seed_locations,seed_products,seed_industries,identity_verified,facility_exposure_verified,sector_hints,southeast_georgia_seed_hint
company_89c7fb4ea40a16de2124266e,Die-Tech Industries Inc.,"[""Die-Tech Industries Inc."", ""die tech industries""]","[""gnem_row_142""]","[""Carrollton, Carroll County""]","[""Glass, ceramics and glass ceramic composites""]","[""Stone, Clay, Glass and Concrete Products""]",False,False,"[""automotive_and_trade""]",False
company_8c24996dab6424ef3a7a1d2c,Dinex Emissions Inc.,"[""Dinex Emissions Inc."", ""dinex emissions""]","[""gnem_row_7""]","[""Dublin, Johnson County""]","[""Aluminum sheet for automotive bodies""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_e4034603e2ef1f2c82e9bef8,Dongwon Autopart Technology Georgia LLC,"[""Dongwon Autopart Technology Georgia LLC"", ""dongwon autopart technology georgia""]","[""gnem_row_15""]","[""Hogansville, Meriwether County""]","[""Aluminum extrusions""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_9ddeeb9ac201aee6620312ef,Dorsett Industries Inc.,"[""Dorsett Industries Inc."", ""dorsett industries""]","[""gnem_row_20""]","[""Dalton, Whitfield County""]","[""Aluminum extrusions""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_2a4a597f72ccf38caccb9442,Down 2 Earth Trailers,"[""Down 2 Earth Trailers"", ""down 2 earth trailers""]","[""gnem_row_22""]","[""Baxley, Appling County""]","[""Standard and custom aluminum-lithium products for automotive customers""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_5dcbbc145bf0d5ed726febae,Duckyang,"[""Duckyang"", ""duckyang""]","[""gnem_row_36""]","[""Braselton, Hall County""]","[""High-quality electrodeposited (ED) copper foil for electric vehicles""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_c1c4fd592ddbedf564507b8b,Eaton Corp.,"[""Eaton Corp."", ""eaton""]","[""gnem_row_37""]","[""Athens, Clarke County""]","[""Aluminum products for various markets including automotive market""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_23ebfd09d6c7f37b2dc25904,Enchem America Inc.,"[""Enchem America Inc."", ""enchem america""]","[""gnem_row_52""]","[""Commerce, Jackson County""]","[""Electric wiring components""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""batteries_and_minerals"", ""metals""]",False
company_2433d9dc53f48bd785fdde67,Enplas USA Inc.,"[""Enplas USA Inc."", ""enplas usa""]","[""gnem_row_59""]","[""Marietta, Cobb County""]","[""Recycler of lithium ion batteries""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_39deb7adc0f95475d16ebb1b,Erdrich USA Inc.,"[""Erdrich USA Inc."", ""erdrich usa""]","[""gnem_row_68""]","[""Dublin, Laurens County""]","[""Aluminum sheet for automotive bodies""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_8b600a968a9e1e7afd1f6cb1,EVCO Plastics,"[""EVCO Plastics"", ""evco plastics""]","[""gnem_row_53""]","[""Calhoun, Gordon County""]","[""Recycler of copper, precious metals, and non-ferrous materials""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_72b49d856cf0c4ec907d8a5c,F&P Georgia Manufacturing,"[""F&P Georgia Manufacturing"", ""f p georgia manufacturing""]","[""gnem_row_54""]","[""Rome, Floyd County""]","[""Lithium-ion battery recycler and raw materials provider""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_16cfdd7795f2585f3782e10a,Fanello Industries Inc.,"[""Fanello Industries Inc."", ""fanello industries""]","[""gnem_row_55""]","[""Lavonia, Franklin County""]","[""Chrome and stainless steel balls""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_dd47a3941fa7ff93d27cfe5d,First American Resources,"[""First American Resources"", ""first american resources""]","[""gnem_row_56""]","[""Mableton, Cobb County""]","[""Honeycomb material""]","[""Primary Metal Industries""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_5fd1cdbb7f4fedfb0fc5ec73,Flambeau Inc.,"[""Flambeau Inc."", ""flambeau""]","[""gnem_row_5""]","[""Madison, Morgan County""]","[""Door locks, ignition locks, side mirrors and door handles""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_db84bb9d505096e9f1ac05ff,Fouts Brothers Fire Equipment,"[""Fouts Brothers Fire Equipment"", ""fouts brothers fire equipment""]","[""gnem_row_11""]","[""Milledgeville, Baldwin County""]","[""Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_b77873acd655b85203123334,FOX Factory,"[""FOX Factory"", ""fox factory""]","[""gnem_row_10""]","[""Duluth, Gwinnett County""]","[""Chrome plated automotive parts""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_95499c81d98267ad7ee60c61,Freudenberg-NOK,"[""Freudenberg-NOK"", ""freudenberg nok""]","[""gnem_row_48"", ""gnem_row_61""]","[""LaGrange, Troup County""]","[""Brake components"", ""Stamped blanks Flexible metal hoses for exhaust systems, thermal compensators, among other automotive""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_0f47bea73e79482f99163b3b,FREYR Battery,"[""FREYR Battery"", ""freyr battery""]","[""gnem_row_69""]","[""Atlanta, Cobb County""]","[""Decorative and functional coating systems""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""batteries_and_minerals"", ""metals""]",False
company_4cf9aea6b8343b258d83e9d6,GEDIA Georgia LLC,"[""GEDIA Georgia LLC"", ""gedia georgia""]","[""gnem_row_74""]","[""Dalton, Cobb County""]","[""Automotive stampings""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_1397e4a3a1b21417765afda3,Global Powertrain Systems LLC,"[""Global Powertrain Systems LLC"", ""global powertrain systems""]","[""gnem_row_75""]","[""Jefferson, Jackson County""]","[""Motor vehicle brake systems and parts Fabricates metal products, including coated coils, metal wall and roof systems and aluminum recreational vehicle doors""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_b7b4dc548795424b83c672ad,Goodyear Tire & Rubber Co.,"[""Goodyear Tire & Rubber Co."", ""goodyear tire rubber""]","[""gnem_row_108""]","[""Atlanta, Clayton County""]","[""Coiled and flat springs for power train, chassis and body applications""]","[""Fabricated Metal Products""]",False,False,"[""automotive_and_trade"", ""metals""]",False
company_284da82fa1a5d254a086d112,Grudem,"[""Grudem"", ""grudem""]","[""gnem_row_4""]","[""Gainesville, Hall County""]","[""Sensors for mobile hydraulic applications""]","[""Machinery Except Electrical""]",False,False,"[""automotive_and_trade""]",False
company_62439ed88b20d99762107a5c,GSC Steel Stamping LLC,"[""GSC Steel Stamping LLC"", ""gsc steel stamping""]","[""gnem_row_70""]","[""Adairsville, Bartow County""]","[""Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.*""]","[""Machinery Except Electrical""]",False,False,"[""automotive_and_trade""]",False
company_cd5434e61fd91cb82ebf56cf,Haering Precision USA LP,"[""Haering Precision USA LP"", ""haering precision usa""]","[""gnem_row_43"", ""gnem_row_72""]","[""Buford, Hall County""]","[""Tools and dies for automotive industry"", ""Ball and roller bearings Hydraulic, plate, diaphragm and centrifugal clutches, metal retainers, plastic retainers, stamped inner and outer rings and modular units""]","[""Machinery Except Electrical""]",False,False,"[""automotive_and_trade""]",False
company_2f674205f91f09171f99b95d,Hanon Systems USA LLC,"[""Hanon Systems USA LLC"", ""hanon systems usa""]","[""gnem_row_73""]","[""Shorter, Spalding County""]","[""Internal combustion engines""]","[""Machinery Except Electrical""]",False,False,"[""automotive_and_trade""]",False
company_83738a1fb07cdd4d4438490b,HELLA Automotive Sales Inc.,"[""HELLA Automotive Sales Inc."", ""hella automotive sales""]","[""gnem_row_121""]","[""Atlanta, Cobb County""]","[""Speed changers and drives""]","[""Machinery Except Electrical""]",False,False,"[""automotive_and_trade""]",False
company_c07c982df0d492aa3945a40c,HEXPOL Compounding Corp.,"[""HEXPOL Compounding Corp."", ""hexpol compounding""]","[""gnem_row_163""]","[""Griffin, Spalding County""]","[""Automotive and commercial stampings; metalworking dies""]","[""Machinery Except Electrical""]",False,False,"[""automotive_and_trade""]",False
company_09c2e352043905f0b725491b,Hitachi Astemo,"[""Hitachi Astemo"", ""hitachi astemo""]","[""gnem_row_76""]","[""Shorter, Fayette County""]","[""Car audio systems""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_857a53c98c8af0ccf25cdd3a,Hitachi Astemo Americas Inc.,"[""Hitachi Astemo Americas Inc."", ""hitachi astemo americas""]","[""gnem_row_77""]","[""Shorter, Coweta County""]","[""Battery cells for electric mobility""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_1a995c929c9b6b4f4eafd428,Hollingsworth & Vose Co.,"[""Hollingsworth & Vose Co."", ""hollingsworth vose""]","[""gnem_row_78""]","[""Hawkinsville, Bleckley County""]","[""Lithium-ion battery materials""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_19c065ceff1df6bfa321c147,Honda Development & Manufacturing,"[""Honda Development & Manufacturing"", ""honda development manufacturing""]","[""gnem_row_79""]","[""Tallapoosa, Cherokee County""]","[""Battery cells for electric mobility""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_26beff672f7c2515d668d5a8,Hwashin,"[""Hwashin"", ""hwashin""]","[""gnem_row_80""]","[""LaGrange, Carroll County""]","[""Modules and storage systems""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_c616bc37ca5f1ed57590e3c9,Hyundai MOBIS (Georgia),"[""Hyundai MOBIS (Georgia)"", ""hyundai mobis georgia""]","[""gnem_row_100""]","[""West Point, Troup County""]","[""Capacitors, electronic automotive components""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_a5d8748e8f29ace38fb5e117,Hyundai Transys Georgia Powertrain,"[""Hyundai Transys Georgia Powertrain"", ""hyundai transys georgia powertrain""]","[""gnem_row_85""]","[""West Point, Troup County""]","[""Electrical heaters, control units, and actuators""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_127cc1bfd36760f9a2c064cc,Hyundai Transys Georgia Seating Systems,"[""Hyundai Transys Georgia Seating Systems"", ""hyundai transys georgia seating systems""]","[""gnem_row_131""]","[""West Point, Troup County""]","[""Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_b1eb8328a45bb51000d1ecaa,IMMI,"[""IMMI"", ""immi""]","[""gnem_row_87""]","[""Dublin, Johnson County""]","[""Battery electrolyte""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_688fd73015130e3680f03efc,IMS Gear Georgia Inc.,"[""IMS Gear Georgia Inc."", ""ims gear georgia""]","[""gnem_row_88""]","[""Suwanee, Gwinnett County""]","[""Car audio systems""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_bf629aedfdcb5f68f8719223,Inalfa Roof Systems Inc.,"[""Inalfa Roof Systems Inc."", ""inalfa roof systems""]","[""gnem_row_146""]","[""Acworth, Cobb County""]","[""Automotive electronic safety systems""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_3d6e0348f06d2e4c8bef6828,JAC Products Inc.,"[""JAC Products Inc."", ""jac products""]","[""gnem_row_90""]","[""Jefferson, Barrow County""]","[""Switches, resistors and related products""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_5e93b599969eccdd9ccfe0a3,Jefferson Southern Corp.,"[""Jefferson Southern Corp."", ""jefferson southern""]","[""gnem_row_166""]","[""Commerce, Forsyth County""]","[""High current switches and resistors for automotive HVAC systems""]","[""Electronic and Other Electrical Equipment and Components""]",False,False,"[""displays"", ""pcbs_and_electronics""]",False
company_b7bd683c22b8b3f21d8e9f7d,Jefferson Southern Corporation,"[""Jefferson Southern Corporation"", ""jefferson southern""]","[""gnem_row_92""]","[""Commerce, Forsyth County""]","[""Stamped metal automobile body parts""]","[""Transportation Equipment""]",False,False,"[""automotive_and_trade""]",False
company_933e96a9f78bb1d41d7089e0,"Joon Georgia, Inc.","[""Joon Georgia, Inc."", ""joon georgia""]","[""gnem_row_93""]","[""West Point, Chattahoochee County""]","[""Seats and seat foam pads""]","[""Transportation Equipment""]",False,False,"[""automotive_and_trade""]",False
