work_id,doi,field,value,unit,raw,evidence_level,status,quote,locator,checks
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,manufacturing_temp_c,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,trigger_mechanism,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,rh_conditions_pct,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,storage_temp_c,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,mcp_loading,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,release_method,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,release_duration,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,kinetic_model,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,release_result,,,,not_stated,not_stated,,not stated,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,produce_tested,Golden Delicious apples,,Golden Delicious apples,full_text_verified,grounded_verbatim,freshly harvested Golden Delicious apples,abstract,quote_exact;substring
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,package_vol_mass,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,quality_outcomes,colour,,colour,full_text_verified,grounded_verbatim,skin colour,abstract,quote_exact;substring
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,mechanical_props,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,barrier_props,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,antimicrobial_outcomes,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,limitations,,,,not_stated,not_stated,,,
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,scaleup_relevance,high,,high,full_text_verified,inference_from_quote,"Among different strategies to manage ethylene, application of 1-Methylcyclopropene (1-MCP) followed by KMnO4 has emerged as a useful commercial tool.",abstract,quote_exact;no_new_numbers
doi:10.33545/26174693.2024.v8.i6h.1390,10.33545/26174693.2024.v8.i6h.1390,concept_relevance,core,,core,full_text_verified,inference_from_quote,This investigation was undertaken to study the effect of different packaging materials using 1-MCP and KMnO4.,abstract,quote_exact;no_new_numbers
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,reference,"Prisma Espinal-Hernández et al. (2021). Postharvest effects of 1-MCP and Chitosan/Oleic acid coating in Pitaya (Stenocereus griseus H.). Journal of the Professional Association for Cactus Development, 23, 43-57.",,,metadata_only,grounded_verbatim,,api,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,doi,10.56890/jpacd.v23i.322,,,metadata_only,grounded_verbatim,,api,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,pub_type,original_research,,,metadata_only,grounded_verbatim,,api,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,substrate_polymer,chitosan,,chitosan,full_text_verified,grounded_verbatim,"5 Journal of the Professional Association for Cactus Development (2021) 23:43-57 Espinal-Hernández et al., 2021 https://doi.org/10.56890/jpacd.v23i.322 The emulsions were prepared by first dispersing Ch",materials,quote_repaired;substring
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,mcp_carrier,sachet,,sachet,full_text_verified,grounded_verbatim,"% w/v), and finally the corresponding amount of OA were added (Table 1). The final mixture was homogenized with the equipment ULTRA-TURRAX® (model T 50 digital, IKA Labortechnik, Staufen, Germany) at 2200 rpm for 15 min. The prepared emulsions were used as coating in pitaya by submerging the f",materials,quote_repaired;substring
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,antimicrobial,chitosan,,chitosan,full_text_verified,grounded_verbatim,"ere Ch and OA with five levels each. The proportions of Ch and AO were established based on previous studies (Aguirre-Loredo et al., 2014; Ochoa-Velasco & Guerrero-Beltrán, 2014) and in the previous experimental phase. Table 1 shows the experimental points (factorial, central, and axial points) for",introduction,quote_repaired;substring
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,prep_method,coating,,coating,full_text_verified,grounded_controlled,"firmness was obtained with a texture analyzer TA-XT2i (Stable Micro Systems, UK) using a conical probe and a penetration distance of 5 mm. Results of this variable were expressed in Newtons (N). Moreover, TSS",materials and methods,quote_repaired;enum_clamped
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,manufacturing_temp_c,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,trigger_mechanism,liquid_water,,liquid_water,full_text_verified,grounded_controlled,"RESULTS AND DISCUSSION Optimization process of CO coating Figure 1 illustrates the effect of factors Ch and OA over the weight loss of pitaya fruit without thorns, stored under refrigeration for 12 d. Based on the results of the RSM, the optimal concentrations to achieve the minimum weight loss (2.26 %) in pitaya fruit without thorns were 9.1 g L-1",materials and methods,quote_repaired;enum_clamped
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,rh_conditions_pct,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,storage_temp_c,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,mcp_loading,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,release_method,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,release_duration,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,kinetic_model,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,release_result,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,produce_tested,Pitaya (Stenocereus griseus H.),,Pitaya (Stenocereus griseus H.),full_text_verified,grounded_verbatim,Pitaya (Stenocereus griseus H.),abstract,quote_exact;substring
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,package_vol_mass,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,quality_outcomes,"weight loss, skin firmness, total soluble solids (TSS), ethylene production, rotting incidence",,"weight loss, skin firmness, total soluble solids (TSS), ethylene production, rotting incidence",full_text_verified,grounded_verbatim,"The quality parameters studied were respiration pattern, ethylene production, weight loss, titratable acidity, skin firmness, and total soluble solids (TSS).",abstract,quote_exact;token_overlap:12/12
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,mechanical_props,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,barrier_props,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,antimicrobial_outcomes,,,,not_stated,not_stated,,not stated,
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,limitations,lab-only conditions and manual processing; requires further optimization for industrial scale,,lab-only conditions and manual processing; requires further optimization for industrial scale,full_text_verified,inference_from_quote,"More research is needed to deepen this knowledge and to optimize the postharvest handling of pitaya, in order to develop its market at global level for the benefit of producers and consumers.",conclusion,quote_exact;no_new_numbers
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,scaleup_relevance,low,,low,full_text_verified,inference_from_quote,"ity detector (TCD) to determine CO2 and a flame ionization detector (FID) for ethylene. The temperature of injection and the detectors was 150 °C and 180 °C, respectively. Nitrogen was used as carrier gas. To determine the concentrations of CO2 and ethylene of each sample, a calibration curve was previously constructed. 46 Journal of the Professional Association for Cactus Development (2021) 23:43",methods,quote_repaired;no_new_numbers
doi:10.56890/jpacd.v23i.322,10.56890/jpacd.v23i.322,concept_relevance,adjacent_material,,adjacent_material,full_text_verified,inference_from_quote,"ar, 2017). The fruit is a slightly oval berry, whose pulp presents an intense, dark red color, is juicy, has a delicate and very sweet flavor, and contains small and 43 Journal of the Professional Association for Cactus Development (2021) 23:43-57 Espinal-Hernández et al., 2021",abstract,quote_repaired;no_new_numbers
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,reference,"Soesiladi Esti Widodo (2015). Effects of 1-Methylcyclopropene and Chitosan on the Fruit Shelf-Life and Qualities of Two Different Ripening Stages of ‘Cavendish’ Banana. Journal of Food and Nutrition Sciences, 3, 54.",,,metadata_only,grounded_verbatim,,api,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,doi,10.11648/j.jfns.s.2015030102.20,,,metadata_only,grounded_verbatim,,api,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,pub_type,original_research,,,metadata_only,grounded_verbatim,,api,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,substrate_polymer,chitosan,,chitosan,full_text_verified,grounded_verbatim,2.5% chitosan,abstract,quote_exact;substring
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,mcp_carrier,,,,not_stated,not_stated,,,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,antimicrobial,,,,not_stated,not_stated,,,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,prep_method,,,,not_stated,not_stated,,,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,manufacturing_temp_c,,,,not_stated,not_stated,,,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,trigger_mechanism,,,,not_stated,not_stated,,,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,rh_conditions_pct,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,storage_temp_c,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,mcp_loading,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,release_method,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,release_duration,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,kinetic_model,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,release_result,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,produce_tested,‘Cavendish’ banana,,‘Cavendish’ banana,full_text_verified,grounded_verbatim,‘Cavendish’ banana,abstract,quote_exact;substring
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,package_vol_mass,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,quality_outcomes,"slow color development, fruit quality deterioration, decrease of fruit firmness, decrease of soluble solid content, increase of acidity",,"slow color development, fruit quality deterioration, decrease of fruit firmness, decrease of soluble solid content, increase of acidity",full_text_verified,grounded_verbatim,"slow color development and fruit quality deterioration, whereas at late stage, the chitosan-coating accelerated ripening by a quick decrease of fruit firmness, decrease of soluble solid content and increase of acidity",abstract,quote_exact;token_prefix
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,mechanical_props,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,barrier_props,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,antimicrobial_outcomes,,,,not_stated,not_stated,,not stated,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,limitations,,,,not_stated,not_stated,,,
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,scaleup_relevance,not_assessable,,not_assessable,full_text_verified,inference_from_quote,1-MCP gas was developed by diluting 0.5 g 1-MCP powder into 30 ml of water.,abstract,quote_exact;no_new_numbers
doi:10.11648/j.jfns.s.2015030102.20,10.11648/j.jfns.s.2015030102.20,concept_relevance,adjacent_material,,adjacent_material,full_text_verified,inference_from_quote,1- methylcyclopropene (1-MCP) is known as an anti-ethylene and it can be applied in combination with chitosan.,abstract,quote_exact;no_new_numbers
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,reference,"Dorota Wichrowska et al. (2026). Antioxidant potential and storage stability of sweet cherries (Prunus avium L.) depending on the use of 1- methylcyclopropene in the innovative form of a sticker. Scientific Reports, 16, 13467.",,,metadata_only,grounded_verbatim,,api,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,doi,10.1038/s41598-026-42369-3,,,metadata_only,grounded_verbatim,,api,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,pub_type,original_research,,,metadata_only,grounded_verbatim,,api,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,substrate_polymer,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,mcp_carrier,Vidre+ stickers,,Vidre+ stickers,full_text_verified,grounded_verbatim,Vidre+ stickers,abstract,quote_exact;substring
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,antimicrobial,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,prep_method,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,manufacturing_temp_c,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,trigger_mechanism,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,rh_conditions_pct,90–95,%,90–95,full_text_verified,grounded_numeric,90–95%,abstract,quote_exact;number_found;context_ok
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,storage_temp_c,2–3,°C,2–3,full_text_verified,grounded_numeric,"hamber (2–3 °C, 90–95% relative air humidity). The best results in terms of weight lo",abstract,quote_repaired;number_found;context_ok
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,mcp_loading,"1, 2, 4 uL of 1-MCP per liter",uL/L,"1, 2, 4 uL of 1-MCP per liter",full_text_verified,grounded_numeric,"1, 2, 4 uL of 1-MCP per liter",abstract,quote_exact;number_found;context_reject;number_found;context_reject;number_found;context_reject;number_found;context_reject;number_found;context_ok
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,release_method,,,,not_stated,not_stated,,not stated,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,release_duration,24 h,h,24 h,full_text_verified,grounded_numeric,"c bag for 24 h. After that, all clamshells were placed into a storage chamber (2–3 °",abstract,quote_repaired;number_found;unit_match;context_ok
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,kinetic_model,,,none_reported,unverifiable,ungrounded_blanked,,not stated,quote_not_locatable
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,release_result,,,,not_stated,not_stated,,not stated,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,produce_tested,sweet cherries (Prunus avium L.),,sweet cherries (Prunus avium L.),full_text_verified,grounded_verbatim,sweet cherries ( Prunus avium L.),abstract,quote_exact;substring
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,package_vol_mass,"One Liter clamshells, 6 kg batches","L, kg","One Liter clamshells, 6 kg batches",full_text_verified,grounded_numeric,"was evaluated. One Liter clamshells of freshly picked sweet cherries were placed into a plastic bag for 24 h. After that, all clamshells were placed into a storage chamber (2–3 °C",abstract,quote_repaired;number_found;context_ok
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,quality_outcomes,"weight loss, firmness, stem browning, visual index, dry matter, vitamin C, total polyphenols, anthocyanins, total soluble solids, reducing and total sugars, antioxidant capacity",,"weight loss, firmness, stem browning, visual index, dry matter, vitamin C, total polyphenols, anthocyanins, total soluble solids, reducing and total sugars, antioxidant capacity",full_text_verified,grounded_verbatim,"The best results in terms of weight loss, stem browning, firmness and fruit quality after storage was obtained with samples treated with 1-MCP. Similar relationships were obtained with regard to the concentration of Vitamin C, total polyphenols, anthocyanins and the antioxidant activity FRAP.",abstract,quote_exact;token_prefix
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,mechanical_props,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,barrier_props,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,antimicrobial_outcomes,,,,not_stated,not_stated,,,
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,limitations,Lack of actual concentration measurement,,Lack of actual concentration measurement,full_text_verified,inference_from_quote,Actual concentrations of 1-MCP inside the clamshell packages were not measured.,methods,quote_exact;no_new_numbers
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,scaleup_relevance,low,,low,full_text_verified,inference_from_quote,"The application of 1-MCP in the innovative form of a sticker from which 1-MCP is gradually released, does not have to be used in a closed warehouse or cold store.",introduction,quote_exact;no_new_numbers
doi:10.1038/s41598-026-42369-3,10.1038/s41598-026-42369-3,concept_relevance,low,,low,full_text_verified,inference_from_quote,Sweet cherry has become one of the most important non-climacteric fruits worldwide.,introduction,quote_exact;no_new_numbers
doi:10.1016/j.fochms.2026.100358,10.1016/j.fochms.2026.100358,reference,"Xukai Hou et al. (2026). The impact of 1-MCP treatment combined with polyethylene film bag packaging on the quality of ‘Shannong Su’ pears during storage. Food Chemistry: Molecular Sciences, 12, 100358.",,,metadata_only,grounded_verbatim,,api,
doi:10.1016/j.fochms.2026.100358,10.1016/j.fochms.2026.100358,doi,10.1016/j.fochms.2026.100358,,,metadata_only,grounded_verbatim,,api,
doi:10.1016/j.fochms.2026.100358,10.1016/j.fochms.2026.100358,pub_type,original_research,,,metadata_only,grounded_verbatim,,api,
doi:10.1016/j.fochms.2026.100358,10.1016/j.fochms.2026.100358,substrate_polymer,polyethylene film bag,,polyethylene film bag,full_text_verified,grounded_verbatim,polyethylene film bag packaging,title,quote_exact;substring
