family_id,pub_number,field,value,evidence_level,status,quote,checks
fam:19e97c0cd4cb,US9381163B2,jurisdictions,"['US', 'SG', 'WO']",metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,family_members_seen,"US20150164815A1, US9381163B2",metadata_only,grounded_verbatim,,
fam:19e97c0cd4cb,US9381163B2,independent_claim_gist,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,packaging_format,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,mcp_carrier,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,release_trigger,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,release_control,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,antimicrobial_component,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,manufacturing_method,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,claim_limitations,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:19e97c0cd4cb,US9381163B2,design_around,,not_stated,not_stated,,
fam:19e97c0cd4cb,US9381163B2,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:62fa3d807879,AU2013387471A1,family_id,fam:62fa3d807879,metadata_only,grounded_verbatim,,
fam:62fa3d807879,AU2013387471A1,title,Methods and compositions for polymer matrix synthesized by polycondensation,metadata_only,grounded_verbatim,,
fam:62fa3d807879,AU2013387471A1,priority_date,2013-04-26,metadata_only,grounded_verbatim,,
fam:62fa3d807879,AU2013387471A1,publication_date,2015-11-12,metadata_only,grounded_verbatim,,
fam:62fa3d807879,AU2013387471A1,assignee,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,inventors,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,jurisdictions,"['US', 'EP', 'JP', 'KR', 'CN', 'AU', 'BR', 'CA', 'CR', 'MX', 'WO']",metadata_only,grounded_verbatim,,
fam:62fa3d807879,AU2013387471A1,family_members_seen,AU2013387471A1,metadata_only,grounded_verbatim,,
fam:62fa3d807879,AU2013387471A1,independent_claim_gist,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,packaging_format,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,mcp_carrier,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,release_trigger,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,release_control,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,antimicrobial_component,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,manufacturing_method,polymer matrix synthesized by polycondensation,full_text_verified,grounded_verbatim,Methods and compositions for polymer matrix synthesized by polycondensation,quote_exact;substring
fam:62fa3d807879,AU2013387471A1,claim_limitations,,not_stated,not_stated,,
fam:62fa3d807879,AU2013387471A1,overlap_with_concept,"The document discloses a polymer matrix synthesized by polycondensation, which could theoretically serve as a controlled-release packaging material, but the provided text lacks specific claims regarding 1-MCP, humidity responsiveness, or antimicrobial components.",full_text_verified,inference_from_quote,Methods and compositions for polymer matrix synthesized by polycondensation,quote_exact;no_new_numbers
fam:62fa3d807879,AU2013387471A1,design_around,Utilizing alternative polymer synthesis methods or different active ingredient carriers would avoid the claimed polycondensation-based matrix.,full_text_verified,inference_from_quote,polymer matrix synthesized by polycondensation,quote_exact;no_new_numbers
fam:62fa3d807879,AU2013387471A1,uncertainty,"The actual claims are not included in the provided document excerpt, making it impossible to determine specific claim limitations, release mechanisms, or whether 1-MCP/antimicrobials are claimed.",full_text_verified,inference_from_quote,## Claims (43),quote_exact;no_new_numbers
fam:20d638c7e6fe,CA2910267A1,family_id,fam:20d638c7e6fe,metadata_only,grounded_verbatim,,
fam:20d638c7e6fe,CA2910267A1,title,Gel formulations for extended release of volatile compounds,metadata_only,grounded_verbatim,,
fam:20d638c7e6fe,CA2910267A1,priority_date,2013-04-26,metadata_only,grounded_verbatim,,
fam:20d638c7e6fe,CA2910267A1,publication_date,2014-10-30,metadata_only,grounded_verbatim,,
fam:20d638c7e6fe,CA2910267A1,assignee,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,inventors,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,jurisdictions,"['US', 'EP', 'JP', 'KR', 'CN', 'AU', 'BR', 'CA', 'CR', 'MX', 'WO']",metadata_only,grounded_verbatim,,
fam:20d638c7e6fe,CA2910267A1,family_members_seen,CA2910267A1,metadata_only,grounded_verbatim,,
fam:20d638c7e6fe,CA2910267A1,independent_claim_gist,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,packaging_format,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,mcp_carrier,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,release_trigger,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,release_control,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,antimicrobial_component,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,manufacturing_method,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,claim_limitations,,not_stated,not_stated,,
fam:20d638c7e6fe,CA2910267A1,overlap_with_concept,"The document covers gel formulations for extended release of volatile compounds, which conceptually aligns with controlled-release packaging but lacks specific mention of methylcyclopropene, humidity responsiveness, or antimicrobial agents in the provided metadata.",full_text_verified,inference_from_quote,Gel formulations for extended release of volatile compounds,quote_exact;no_new_numbers
fam:20d638c7e6fe,CA2910267A1,design_around,"To avoid this document scope, one could specify non-gel packaging formats, explicitly incorporate methylcyclopropene and essential oils, and define humidity-responsive release mechanisms rather than relying on general gel matrices.",full_text_verified,inference_from_quote,Gel formulations for extended release of volatile compounds,quote_exact;no_new_numbers
fam:20d638c7e6fe,CA2910267A1,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:66f0e0f037c8,CN101578978A,family_id,fam:66f0e0f037c8,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,title,Ethylene absorbent and preparation method thereof,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,priority_date,2009-06-11,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,publication_date,2009-11-18,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,assignee,China Agricultural University,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,inventors,"曲桂芹, 李小红, 曹建康, 朱毅, 罗云波",metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,jurisdictions,CN,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,family_members_seen,CN101578978A,metadata_only,grounded_verbatim,,
fam:66f0e0f037c8,CN101578978A,independent_claim_gist,"An ethylene absorbent prepared from a carrier substance, a metal promoter (1-5% of carrier weight), and a palladium divalent compound reaction host (0.3-5% of carrier weight).",full_text_verified,inference_from_quote,"this ethylene absorbent is prepared from by carrier mass, metal promoter and reaction host, and the weight of metal promoter is 1～5% of carrier mass weight, and the weight of reaction host is 0.3～5% of carrier mass weight.",quote_exact;no_new_numbers
fam:66f0e0f037c8,CN101578978A,packaging_format,Granular absorbent placed in air-permeable paper bags or non-woven bags,full_text_verified,grounded_verbatim,透气性的纸袋或无纺布袋中,quote_exact;token_overlap:9/10
fam:66f0e0f037c8,CN101578978A,mcp_carrier,,not_stated,not_stated,,
fam:66f0e0f037c8,CN101578978A,release_trigger,,not_stated,not_stated,,
fam:66f0e0f037c8,CN101578978A,release_control,,not_stated,not_stated,,
fam:66f0e0f037c8,CN101578978A,antimicrobial_component,,not_stated,not_stated,,
fam:66f0e0f037c8,CN101578978A,manufacturing_method,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:66f0e0f037c8,CN101578978A,claim_limitations,Metal promoter weight must be 1-5% of carrier mass; reaction host (palladium divalent compound) weight must be 0.3-5% of carrier mass.,full_text_verified,inference_from_quote,"the weight of metal promoter is 1～5% of carrier mass weight, and the weight of reaction host is 0.3～5% of carrier mass weight.",quote_exact;no_new_numbers
fam:66f0e0f037c8,CN101578978A,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:66f0e0f037c8,CN101578978A,design_around,"Use metal promoters other than divalent copper, manganese, or molybdenum; use reaction hosts other than palladium divalent compounds; or adjust weight ratios outside the claimed 1-5% and 0.3-5% ranges.",full_text_verified,inference_from_quote,"the weight of metal promoter is 1～5% of carrier mass weight, and the weight of reaction host is 0.3～5% of carrier mass weight.",quote_exact;no_new_numbers
fam:66f0e0f037c8,CN101578978A,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:060a87bc3a5d,CN101416658B,family_id,fam:060a87bc3a5d,metadata_only,grounded_verbatim,,
fam:060a87bc3a5d,CN101416658B,title,"1- MCP/modified stabilizer coating material, production method and use thereof",metadata_only,grounded_verbatim,,
fam:060a87bc3a5d,CN101416658B,priority_date,2008-11-07,metadata_only,grounded_verbatim,,
fam:060a87bc3a5d,CN101416658B,publication_date,2009-04-29,metadata_only,grounded_verbatim,,
fam:060a87bc3a5d,CN101416658B,assignee,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,inventors,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,jurisdictions,['CN'],metadata_only,grounded_verbatim,,
fam:060a87bc3a5d,CN101416658B,family_members_seen,CN101416658B,metadata_only,grounded_verbatim,,
fam:060a87bc3a5d,CN101416658B,independent_claim_gist,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,packaging_format,coating,full_text_verified,grounded_verbatim,coating material,quote_exact;substring
fam:060a87bc3a5d,CN101416658B,mcp_carrier,modified stabilizer,full_text_verified,grounded_verbatim,1- MCP/modified stabilizer,quote_exact;substring
fam:060a87bc3a5d,CN101416658B,release_trigger,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,release_control,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,antimicrobial_component,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,manufacturing_method,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,claim_limitations,,not_stated,not_stated,,
fam:060a87bc3a5d,CN101416658B,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:060a87bc3a5d,CN101416658B,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:060a87bc3a5d,CN101416658B,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:d9bba1ce6f11,CN101715760A,family_id,fam:d9bba1ce6f11,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,title,1-methylcyclopropene liquid preparation,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,priority_date,2009-12-01,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,publication_date,2010-06-02,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,assignee,Shandong Nutrient Source Food Technology Co Ltd,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,inventors,"王庆国, 牟文良, 陈庆敏",metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,jurisdictions,CN,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,family_members_seen,CN101715760A,metadata_only,grounded_verbatim,,
fam:d9bba1ce6f11,CN101715760A,independent_claim_gist,"A liquid preparation comprising a 1-methylcyclopropene stable solution as host, mixed with an organic solvent, emulsifier, and synergist in specific weight percentages.",full_text_verified,inference_from_quote,"with the 1-methyl cyclopropene stable solution of being made up of 1-methyl cyclopropene, one or more alcohols materials and one or more aldehydes matters is host, add organic solvent, emulsifier and host by certain proportioning and form",quote_exact;no_new_numbers
fam:d9bba1ce6f11,CN101715760A,packaging_format,,not_stated,not_stated,,
fam:d9bba1ce6f11,CN101715760A,mcp_carrier,1-methyl cyclopropene stable solution (alcohol/aldehyde mixture),full_text_verified,grounded_verbatim,"1-methyl cyclopropene stable solution of being made up of 1-methyl cyclopropene, one or more alcohols materials and one or more aldehydes matters is host",quote_exact;token_prefix
fam:d9bba1ce6f11,CN101715760A,release_trigger,,not_stated,not_stated,,
fam:d9bba1ce6f11,CN101715760A,release_control,,not_stated,not_stated,,
fam:d9bba1ce6f11,CN101715760A,antimicrobial_component,,not_stated,not_stated,,
fam:d9bba1ce6f11,CN101715760A,manufacturing_method,"Mixing 1-methyl cyclopropene stable solution with organic solvent, then adding and stirring in emulsifier and synergist.",full_text_verified,grounded_verbatim,"gleapis.com/f6/da/82/272c2abf9e4290/G2009102306858D0000031.png)](https://patentimages.storage.googleapis.com/f6/da/82/272c2abf9e4290/G2009102306858D0000031.png) Wherein, R nBe the hydro carbons of C1～C5, n=0,1,2,3; R 1The hydro carbons of=H, C1～C5,",quote_repaired;token_overlap:14/15
fam:d9bba1ce6f11,CN101715760A,claim_limitations,"Weight percentages: 1-MCP stable solution 1-80%, organic solvent 10-70%, emulsifier 1-50%, synergist 0.1-5%.",full_text_verified,inference_from_quote,"wherein the percentage by weight between each component is: 1-methyl cyclopropene stable solution 1～80%, organic solvent 10～70%, emulsifier 1～50%, synergist 0.1～5%.",quote_exact;no_new_numbers
fam:d9bba1ce6f11,CN101715760A,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:d9bba1ce6f11,CN101715760A,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:d9bba1ce6f11,CN101715760A,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,family_id,fam:0f2f2866eae4,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,title,1-methyl-3-(2-methyl cyclopropane)-1-cyclopropylene stable inclusion compound and preparation method thereof,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,priority_date,2010-10-19,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,publication_date,2011-03-30,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,assignee,Xian Jiaotong University,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,inventors,"延卫, 常乐, 冯江涛",metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,jurisdictions,CN,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,family_members_seen,CN101990936A,metadata_only,grounded_verbatim,,
fam:0f2f2866eae4,CN101990936A,independent_claim_gist,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,packaging_format,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,mcp_carrier,cyclodextrin copper complex,full_text_verified,grounded_verbatim,"ne stable inclusion complex used for fresh-keeping of fruits, vegetables and flowers, which is characterized in that the inclusion complex is composed of 1-methyl -3-(2-methylcyclopropane)-1-cyclopropene and cyclodextrin copper complex are formed by inclusion reaction. The inclusion is a",quote_derived_from_value;substring
fam:0f2f2866eae4,CN101990936A,release_trigger,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,release_control,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,antimicrobial_component,,not_stated,not_stated,,
fam:0f2f2866eae4,CN101990936A,manufacturing_method,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,claim_limitations,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:0f2f2866eae4,CN101990936A,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:f8583b5fc830,CN102440237B,family_id,fam:f8583b5fc830,metadata_only,grounded_verbatim,,
fam:f8583b5fc830,CN102440237B,title,1-methylcyclopropene preparation and preparation method thereof,metadata_only,grounded_verbatim,,
fam:f8583b5fc830,CN102440237B,priority_date,2011-09-30,metadata_only,grounded_verbatim,,
fam:f8583b5fc830,CN102440237B,publication_date,2014-06-18,metadata_only,grounded_verbatim,,
fam:f8583b5fc830,CN102440237B,assignee,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,inventors,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,jurisdictions,['CN'],metadata_only,grounded_verbatim,,
fam:f8583b5fc830,CN102440237B,family_members_seen,CN102440237B,metadata_only,grounded_verbatim,,
fam:f8583b5fc830,CN102440237B,independent_claim_gist,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,packaging_format,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,mcp_carrier,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,release_trigger,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,release_control,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,antimicrobial_component,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,manufacturing_method,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,claim_limitations,,not_stated,not_stated,,
fam:f8583b5fc830,CN102440237B,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:f8583b5fc830,CN102440237B,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:f8583b5fc830,CN102440237B,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:9a663937f1fc,CN102823644A,family_id,fam:9a663937f1fc,metadata_only,grounded_verbatim,,
fam:9a663937f1fc,CN102823644A,title,Fresh-keeping method for muskmelon,metadata_only,grounded_verbatim,,
fam:9a663937f1fc,CN102823644A,priority_date,2012-09-04,metadata_only,grounded_verbatim,,
fam:9a663937f1fc,CN102823644A,publication_date,2012-12-19,metadata_only,grounded_verbatim,,
fam:9a663937f1fc,CN102823644A,assignee,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,inventors,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,jurisdictions,['CN'],metadata_only,grounded_verbatim,,
fam:9a663937f1fc,CN102823644A,family_members_seen,CN102823644A,metadata_only,grounded_verbatim,,
fam:9a663937f1fc,CN102823644A,independent_claim_gist,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,packaging_format,film,full_text_verified,grounded_verbatim,微孔气调保鲜膜,quote_exact;substring
fam:9a663937f1fc,CN102823644A,mcp_carrier,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,release_trigger,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,release_control,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,antimicrobial_component,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,manufacturing_method,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,claim_limitations,,not_stated,not_stated,,
fam:9a663937f1fc,CN102823644A,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:9a663937f1fc,CN102823644A,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:9a663937f1fc,CN102823644A,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:ba86cd3ff874,CN104304242B,family_id,fam:ba86cd3ff874,metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,title,"Maturation or curing inhibitor release from polymer, fiber, film, thin slice or packaging",metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,priority_date,2009-12-14,metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,publication_date,2017-06-30,metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,assignee,"Cellresin Technologies, Llc",metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,inventors,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,jurisdictions,"['US', 'EP', 'CN', 'JP', 'KR', 'AU', 'BR', 'CA', 'ES', 'MX', 'RU', 'WO']",metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,family_members_seen,CN104304242B,metadata_only,grounded_verbatim,,
fam:ba86cd3ff874,CN104304242B,independent_claim_gist,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,packaging_format,"polymer, fiber, film, thin slice or packaging",full_text_verified,grounded_verbatim,"polymer, fiber, film, thin slice or packaging",quote_exact;substring
fam:ba86cd3ff874,CN104304242B,mcp_carrier,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,release_trigger,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,release_control,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,antimicrobial_component,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,manufacturing_method,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,claim_limitations,,not_stated,not_stated,,
fam:ba86cd3ff874,CN104304242B,overlap_with_concept,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:ba86cd3ff874,CN104304242B,design_around,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:ba86cd3ff874,CN104304242B,uncertainty,,unverifiable,ungrounded_blanked,,quote_not_locatable
fam:9879477d8904,CN112218529A,family_id,fam:9879477d8904,metadata_only,grounded_verbatim,,
fam:9879477d8904,CN112218529A,title,Compositions and articles comprising complexes of 1-methylcyclopropene with alpha-cyclodextrin,metadata_only,grounded_verbatim,,
fam:9879477d8904,CN112218529A,priority_date,2018-04-27,metadata_only,grounded_verbatim,,
fam:9879477d8904,CN112218529A,publication_date,2021-01-12,metadata_only,grounded_verbatim,,
fam:9879477d8904,CN112218529A,assignee,,not_stated,not_stated,,
fam:9879477d8904,CN112218529A,inventors,,not_stated,not_stated,,
fam:9879477d8904,CN112218529A,jurisdictions,"['US', 'EP', 'JP', 'KR', 'CN', 'AU', 'BR', 'CA', 'CL', 'CO', 'CR', 'EC', 'ES', 'IL', 'MX', 'PE', 'PH', 'PL', 'WO', 'ZA']",metadata_only,grounded_verbatim,,
fam:9879477d8904,CN112218529A,family_members_seen,CN112218529A,metadata_only,grounded_verbatim,,
fam:9879477d8904,CN112218529A,independent_claim_gist,,not_stated,not_stated,,
fam:9879477d8904,CN112218529A,packaging_format,,not_stated,not_stated,,
