record_no,company,category,location,address,industry_group,ev_role
46,Mobis Alabama LLC,Tier 1,"West Point, Troup County","300 Hyundai MOBIS Dr, West Point, GA 31833",Transportation Equipment,General Automotive
47,Freudenberg-NOK,Tier 2/3,"LaGrange, Troup County","1618 Lukken Industrial Dr, LaGrange, GA 30240",Fabricated Metal Products,General Automotive
48,Elan Technology Inc.,Tier 2/3,"Midway, Bryan County","169 Elan Court, Midway, GA 31320",Primary Metal Industries,General Automotive
49,Continental Automotive,Tier 2/3,"Fairburn, Fayette County","7310 Oakley Industrial Blvd, Fairburn, GA 30213",Rubber and Miscellaneous Plastic Products,General Automotive
50,Ecoplastic Corporation,Tier 2/3,"Statesboro, Bulloch County","25 Siebald St, Statesboro, GA 30458",Primary Metal Industries,General Automotive
51,Enchem America Inc.,Tier 2/3,"Commerce, Jackson County","648 Highway 334, Commerce, GA 30530",Primary Metal Industries,General Automotive
52,EVCO Plastics,Tier 2/3,"Calhoun, Gordon County","100 EVCO Drive, Calhoun, GA 30701",Primary Metal Industries,Materials
53,F&P Georgia Manufacturing,Tier 1/2,"Rome, Floyd County","88 Enterprise Drive SE, Rome, GA 30161",Primary Metal Industries,Battery Pack
54,Fanello Industries Inc.,Tier 2/3,"Lavonia, Franklin County","50 E Main Street, Lavonia, GA 30553",Primary Metal Industries,Materials
55,First American Resources,Tier 2/3,"Mableton, Cobb County","2030 Riverview Industrial Dr SE, Mableton, GA 30126",Primary Metal Industries,Materials
56,ADVICS Manufacturing Georgia LLC,Tier 2/3,"LaGrange, Troup County","1621 Lukken Industrial Dr W, LaGrange, GA 30240",Textile Products,General Automotive
57,Murata Electronics North America Inc.,Tier 1,"Smyrna, Fulton County","1000 Corporate Dr, Smyrna, GA 30080",Transportation Equipment,General Automotive
58,Enplas USA Inc.,Tier 2/3,"Marietta, Cobb County","1901 West Oak Circle, Marietta, GA 30062",Primary Metal Industries,General Automotive
59,Continental Tire the Americas LLC,Tier 2/3,"Barnesville, Lamar County","160 Aldora St, Barnesville, GA 30204",Rubber and Miscellaneous Plastic Products,General Automotive
60,Freudenberg-NOK,Tier 2/3,"LaGrange, Troup County","1618 Lukken Industrial Dr, LaGrange, GA 30240",Fabricated Metal Products,Thermal Management
61,Ajin Georgia,Tier 2/3,"Register, Bulloch County","355 Rocky Rd, Register, GA 30452",Textile Products,General Automotive
62,Neaton Rome Inc.,Tier 1,"Rome, Cobb County","1 Neaton Dr, Rome, GA 30161",Transportation Equipment,General Automotive
63,Apache Mills Inc.,Tier 2/3,"Calhoun, Forsyth County","3270 Joe Jerkins Blvd SE, Calhoun, GA 30701",Paper and Allied Products,General Automotive
64,Novelis Inc.,Tier 1,"Atlanta, Fulton County","3560 Lenox Rd NE, Suite 2000, Atlanta, GA 30326",Transportation Equipment,General Automotive
65,DaeChang Seat Company,Tier 2/3,"Savannah, Chatham County","Savannah Chatham Manufacturing Center, Savannah, GA 31408",Rubber and Miscellaneous Plastic Products,General Automotive
66,ALBAform Inc.,Tier 2/3,"Flowery Branch, Forsyth County","6505 McEver Rd, Flowery Branch, GA 30542",Textile Products,General Automotive
67,Erdrich USA Inc.,Tier 2/3,"Dublin, Laurens County","112 Willie Paulk Parkway, Dublin, GA 31021",Primary Metal Industries,General Automotive
68,FREYR Battery,Tier 2/3,"Atlanta, Cobb County","601 10th St NW, Suite 400, Atlanta, GA 30318",Fabricated Metal Products,General Automotive
69,GSC Steel Stamping LLC,Tier 2/3,"Adairsville, Bartow County","104 International Pkwy, Adairsville, GA 30103",Machinery Except Electrical,Power Electronics
70,Denso Manufacturing Georgia,Tier 2/3,"Pendergrass, Hall County","1000 Valentine Industrial Pkwy, Pendergrass, GA 30567","Stone, Clay, Glass and Concrete Products",General Automotive
71,Haering Precision USA LP,Tier 2/3,"Buford, Hall County","5000 Frontage Rd, Buford, GA 30518",Machinery Except Electrical,Materials
72,Hanon Systems USA LLC,Tier 2/3,"Shorter, Spalding County","400 Hanon Dr, Shorter, GA 36075",Machinery Except Electrical,General Automotive
73,GEDIA Georgia LLC,Tier 2/3,"Dalton, Cobb County","1 GEDIA Way, Dalton, GA 30721",Fabricated Metal Products,General Automotive
74,Global Powertrain Systems LLC,Tier 2/3,"Jefferson, Jackson County","300 Logistics Parkway, Jefferson, GA 30549",Fabricated Metal Products,General Automotive
75,Hitachi Astemo,Tier 1/2,"Shorter, Fayette County","400 Hanon Dr, Shorter, GA 36075",Electronic and Other Electrical Equipment and Components,General Automotive
76,Hitachi Astemo Americas Inc.,Tier 1/2,"Shorter, Coweta County","400 Hanon Dr, Shorter, GA 36075",Electronic and Other Electrical Equipment and Components,Battery Cell
77,Hollingsworth & Vose Co.,Tier 1/2,"Hawkinsville, Bleckley County","111 Hollingsworth & Vose Rd, Hawkinsville, GA 31036",Electronic and Other Electrical Equipment and Components,Battery Pack
78,Honda Development & Manufacturing,Tier 1/2,"Tallapoosa, Cherokee County","1000 Honda Dr, Tallapoosa, GA 30176",Electronic and Other Electrical Equipment and Components,Battery Cell
79,Hwashin,Tier 1/2,"LaGrange, Carroll County","1465 Troup Industrial Blvd, LaGrange, GA 30240",Electronic and Other Electrical Equipment and Components,General Automotive
80,Hyundai & LG Energy Solution (LGES),Tier 1/2,"Ellabell, Forsyth County","700 Hyundai Blvd, Ellabell, GA 31308",Electronic and Other Electrical Equipment and Components,General Automotive
81,"Daesol Material Georgia, LLC",Tier 2/3,"Duluth, Gwinnett County","2895 Old Norcross Rd, Duluth, GA 30096",Rubber and Miscellaneous Plastic Products,General Automotive
82,GLOVIS Georgia LLC,Tier 2/3,"Savannah, Bryan County","127 N Park Ct, Savannah, GA 31407",Fabricated Metal Products,General Automotive
83,Hyundai Motor Group,Tier 1/2,"Ellabell, Bryan County","700 Hyundai Blvd, Ellabell, GA 31308",Electronic and Other Electrical Equipment and Components,Battery Pack
84,Hyundai Transys Georgia Powertrain,Tier 1/2,"West Point, Troup County","100 Powertrain Way, West Point, GA 31833",Electronic and Other Electrical Equipment and Components,Thermal Management
85,Daimler Truck North America,Tier 2/3,"Covington, Henry County","7400 E Freeman Pkwy, Covington, GA 30014",Rubber and Miscellaneous Plastic Products,General Automotive
86,IMMI,Tier 1/2,"Dublin, Johnson County","2002 Industrial Park Dr, Dublin, GA 31021",Electronic and Other Electrical Equipment and Components,Battery Pack
87,IMS Gear Georgia Inc.,Tier 1/2,"Suwanee, Gwinnett County","300 Satellite Blvd NE, Suwanee, GA 30024",Electronic and Other Electrical Equipment and Components,General Automotive
88,NVH Korea,Tier 1,"Locust Grove, Henry County","120 Colvin Drive, Locust Grove, GA 30248",Transportation Equipment,General Automotive
89,JAC Products Inc.,Tier 1/2,"Jefferson, Barrow County","120 Logistics Pkwy, Jefferson, GA 30549",Electronic and Other Electrical Equipment and Components,General Automotive
90,Oneda Corp.,Tier 1,"Gainesville, Hall County","2157 Atlanta Highway, Gainesville, GA 30504",Transportation Equipment,General Automotive
91,Jefferson Southern Corporation,Tier 1,"Commerce, Forsyth County","1 Jefferson Southern Dr, Commerce, GA 30529",Transportation Equipment,General Automotive
92,"Joon Georgia, Inc.",Tier 1,"West Point, Chattahoochee County","100 Industrial Park Rd, West Point, GA 31833",Transportation Equipment,General Automotive
93,Hyundai Industrial Co.,Tier 1/2,"Ellabell, Lowndes County","700 Hyundai Blvd, Ellabell, GA 31308",Electronic and Other Electrical Equipment and Components,General Automotive
94,Anovion Technologies,Tier 2/3,"Bainbridge, Decatur County","Bainbridge, GA (street address not publicly confirmed)",Textile Products,General Automotive
95,Kia Georgia Inc.,OEM,"West Point, Troup County","1025 Kia Blvd, West Point, GA 31833",Transportation Equipment,Vehicle Assembly
96,KTX America Corporation,Tier 1,"LaGrange, Meriwether County","205 KTX Dr, LaGrange, GA 30240",Transportation Equipment,General Automotive
97,Kumho Tire USA Inc.,Tier 1,"Macon, Bibb County","1 Kumho Dr, Macon, GA 31216",Transportation Equipment,General Automotive
98,Kyungshin America Corp.,Tier 1,"West Point, Troup County","85 Kyungshin Dr, West Point, GA 31833",Transportation Equipment,General Automotive
99,Hyundai MOBIS (Georgia),Tier 1/2,"West Point, Troup County","300 Hyundai MOBIS Dr, West Point, GA 31833",Electronic and Other Electrical Equipment and Components,General Automotive
100,Lear Corporation,Tier 1,"Hammond Industrial Park, Troup County","100 Lear Dr, Hammond Industrial Park, GA 30240",Transportation Equipment,General Automotive
101,Lehigh Technologies Inc.,Tier 1,"Tucker, Gwinnett County","1000 New Horizons Way, Tucker, GA 30084",Transportation Equipment,General Automotive
102,Linde + Wiemann,Tier 1,"Dublin, Laurens County","200 Linde Wiemann Way, Dublin, GA 31021",Transportation Equipment,General Automotive
103,Decostar Industries,Tier 2/3,"Buchanan, Polk County","219 Evans Dr, Buchanan, GA 30113",Rubber and Miscellaneous Plastic Products,General Automotive
104,Lund International Inc./Ventshade Division,Tier 1,"Madison, Morgan County","189 Excalibur Dr, Madison, GA 30650",Transportation Equipment,General Automotive
105,Lyle Industries Inc.,Tier 1,"Dawsonville, Dawson County","715 Lyle Industrial Dr, Dawsonville, GA 30534",Transportation Equipment,General Automotive
106,Lyle Industries Inc.,Tier 1,"Dawsonville, Dawson County","715 Lyle Industrial Dr, Dawsonville, GA 30534",Transportation Equipment,General Automotive
107,Goodyear Tire & Rubber Co.,Tier 2/3,"Atlanta, Clayton County","1420 Phoenix Blvd, Suite 300, Atlanta, GA 30349",Fabricated Metal Products,General Automotive
108,Magna International,Tier 1,"Carrollton, Carroll County","250 Magna Dr, Carrollton, GA 30117",Transportation Equipment,General Automotive
109,Perkins Small Engines LLC,Tier 1,"Griffin, Spalding County","325 Green Valley Road, Griffin, GA 30224",Transportation Equipment,General Automotive
110,Master Craft Engineering Inc.,Tier 1,"Lavonia, Franklin County","1000 Mastercraft Ln, Lavonia, GA 30553",Transportation Equipment,General Automotive
111,Arising Industries Inc.,Tier 2/3,"Norcross, Gwinnett County","6010 Unity Dr, Norcross, GA 30071",Chemicals and Allied Products,General Automotive
112,Maxxis International USA,Tier 1,"Suwanee, Clayton County","100 International Pkwy, Suwanee, GA 30024",Transportation Equipment,General Automotive
113,Peterson Spring,Tier 1,"Athens, Clarke County","600 Old Hull Road, Athens, GA 30601",Transportation Equipment,General Automotive
114,DeKalb Tool & Die Inc.,Tier 2/3,"Tucker, Gwinnett County","2220 Stephens Dr, Tucker, GA 30084",Rubber and Miscellaneous Plastic Products,General Automotive
115,PIOLAX Corp.,Tier 1,"Canton, Cherokee County","139 Etowah Industrial Court, Canton, GA 30114",Transportation Equipment,General Automotive
116,Minebea AccessSolutions USA Inc.,OEM,"Gainesville, Cobb County","200 Access Way, Gainesville, GA 30501",Transportation Equipment,General Automotive
117,Pirelli Tire North America LLC,Tier 1,"Albany, Dougherty County","2819 Old Dawson Rd, Albany, GA 31707",Transportation Equipment,General Automotive
118,MollerTech LLC,Tier 1,"Dalton, Murray County","100 Mollertech Dr, Dalton, GA 30721",Transportation Equipment,General Automotive
119,Morgan Corp.,Tier 1,"Lawrenceville, Gwinnett County","15 Morgan Center Dr, Morganton, NC 28655",Transportation Equipment,Charging Infrastructure
120,HELLA Automotive Sales Inc.,Tier 2/3,"Atlanta, Cobb County","2018 Powers Ferry Rd SE, Suite 400, Atlanta, GA 30339",Machinery Except Electrical,General Automotive
121,Porsche Cars North America Inc.,Tier 1,"Atlanta, Fulton County","1 Porsche Dr, Atlanta, GA 30328",Transportation Equipment,General Automotive
122,Nidec Elesys Americas Corp.,Tier 1,"Suwanee, Forsyth County","3900 Lakefield Ct, Suwanee, GA 30024",Transportation Equipment,General Automotive
123,NIFCO KTW America Corp.,Tier 1,"Toccoa, Franklin County","100 Nifco Way, Toccoa, GA 30577",Transportation Equipment,General Automotive
124,Nile Automotive,Tier 1,"Cumming, Forsyth County","4490 Alicia Lane, Cumming, GA 30028",Transportation Equipment,General Automotive
125,Nisshinbo Automotive Manufacturing Inc.,Tier 1,"Covington, Newton County","14187 Nisshinbo Drive, Covington, GA 30014",Transportation Equipment,General Automotive
126,Nivel Parts & Manufacturing Co. LLC,Tier 1,"Cairo, Grady County","2051 2nd Ave NE, Cairo, GA 39828",Transportation Equipment,General Automotive
127,Propex Operating Co. LLC,Tier 1,"Pooler, Bryan County","490 Chatham Pkwy, Pooler, GA 31322",Transportation Equipment,General Automotive
128,Novelis Inc.,Tier 1,"Atlanta, Fulton County","3560 Lenox Rd NE, Suite 2000, Atlanta, GA 30326",Transportation Equipment,General Automotive
129,Novelis Inc.,Tier 1,"Atlanta, Fulton County","3560 Lenox Rd NE, Suite 2000, Atlanta, GA 30326",Transportation Equipment,Thermal Management
130,Hyundai Transys Georgia Seating Systems,Tier 1/2,"West Point, Troup County","801 Transys Pkwy, West Point, GA 31833",Electronic and Other Electrical Equipment and Components,General Automotive
131,RealTruck,Tier 1,"Peachtree City, Walker County","1656 Airport Rd N, Peachtree City, GA 30269",Transportation Equipment,General Automotive
132,OTR Wheel Engineering Inc.,Tier 1,"Rome, Floyd County","6 Riverside Industrial Park, Rome, GA 30161",Transportation Equipment,General Automotive
133,Paccar,Tier 1,"Morrow, Clayton County","6853 Southlake Pkwy, Morrow, GA 30260",Transportation Equipment,General Automotive
134,PAI Industries Inc.,Tier 1,"Mableton, Cobb County","2125 Clay Drive, Mableton, GA 30126",Transportation Equipment,General Automotive
135,Pak-Lite Inc.,Tier 1,"Suwanee, Gwinnett County","550 Old Peachtree Rd NW, Suwanee, GA 30024",Transportation Equipment,General Automotive
136,Panasonic Automotive Systems Co.,Tier 1,"Peachtree City, Fayette County","1 Panasonic Way, Peachtree City, GA 30269",Transportation Equipment,General Automotive
137,Panasonic Automotive Systems Co.,Tier 1,"Peachtree City, Fayette County","1 Panasonic Way, Peachtree City, GA 30269",Transportation Equipment,Materials
138,Panduit Corp.,Tier 1,"Cumming, Forsyth County","1819 Atlanta Hwy, Cumming, GA 30040",Transportation Equipment,General Automotive
139,Peerless-Winsmith Inc.,Tier 1,"Flowery Branch, Hall County","4510 Cantrell Road, Flowery Branch, GA 30542",Transportation Equipment,Thermal Management
140,Great Dane LP,Tier 2/3,"Savannah, Chatham County","602 E Lathrop Ave, Savannah, GA 31415",Fabricated Metal Products,General Automotive
141,Die-Tech Industries Inc.,Tier 2/3,"Carrollton, Carroll County","102 Automation Dr, Carrollton, GA 30117","Stone, Clay, Glass and Concrete Products",General Automotive
142,PHA Body Systems LLC,Tier 1,"Bloomingdale, Bryan County","300 Monahan Drive, Bloomingdale, GA 31302",Transportation Equipment,Materials
143,Piedmont Automotive Products Inc.,Tier 1,"Clarkesville, Habersham County","1058 Rocky Branch Rd, Clarkesville, GA 30523",Transportation Equipment,General Automotive
144,Robert Bosch LLC,Tier 1,"Flowery Branch, Forsyth County","6330 W Broad St, Flowery Branch, GA 30542",Transportation Equipment,General Automotive
145,Inalfa Roof Systems Inc.,Tier 1/2,"Acworth, Cobb County","100 Inalfa Dr, Acworth, GA 30102",Electronic and Other Electrical Equipment and Components,General Automotive
146,Great Dane Trailers,Tier 2/3,"Savannah, Chatham County","602 E Lathrop Ave, Savannah, GA 31415",Fabricated Metal Products,General Automotive
147,PPG Industries Inc.,Tier 1,"Calhoun, Whitfield County","500 Enterprise Dr, Calhoun, GA 30701",Transportation Equipment,General Automotive
148,Sewon America Inc.,Tier 1,"LaGrange, Troup County","210 Sewon Dr, LaGrange, GA 30241",Transportation Equipment,General Automotive
149,QSR Inc.,Tier 1,"LaGrange, Clayton County","135 QSR Rd, LaGrange, GA 30240",Transportation Equipment,General Automotive
150,Racemark International LLC,Tier 1,"Gray, Jones County","152 Racemark Dr, Gray, GA 31032",Transportation Equipment,General Automotive
151,Sewon America Inc.,Tier 1,"LaGrange, Troup County","210 Sewon Dr, LaGrange, GA 30241",Transportation Equipment,General Automotive
152,Rivian Automotive,Tier 1,"Atlanta, Fulton County","1090 Roberts Dr NW, Atlanta, GA 30318",Transportation Equipment,General Automotive
153,SHIROKI North America Inc,Tier 1,"LaGrange, Clayton County","100 Shiroki Way, LaGrange, GA 30241",Transportation Equipment,General Automotive
154,SAFT America Inc.,Tier 1,"Cataula, Harris County","15621 Hopewell Church Rd, Cataula, GA 31804",Transportation Equipment,General Automotive
155,Sejong Georgia LLC,Tier 1,"Jefferson, Barrow County","100 Sejong Way, Jefferson, GA 30549",Transportation Equipment,General Automotive
156,Seohan Auto USA,Tier 1,"LaGrange, Lamar County","850 Lamar St, LaGrange, GA 30240",Transportation Equipment,General Automotive
157,Seoyon E-HWA,Tier 1,"West Point, Troup County","200 Seoyon E-HWA Blvd, West Point, GA 31833",Transportation Equipment,General Automotive
158,Seoyon E-Hwa Interior Systems,Tier 1,"West Point, Troup County","200 Seoyon E-HWA Blvd, West Point, GA 31833",Transportation Equipment,General Automotive
159,Solvay Specialty Polymers USA LLC,Tier 1,"Augusta, Elbert County","600 Patterson Ave, Augusta, GA 30901",Transportation Equipment,General Automotive
160,Denkai America,Tier 2/3,"Augusta, Richmond County","1614 Douglas Rd, Augusta, GA 30906",Rubber and Miscellaneous Plastic Products,General Automotive
161,Sewon America Inc.,Tier 1,"LaGrange, Troup County","210 Sewon Dr, LaGrange, GA 30241",Transportation Equipment,General Automotive
162,HEXPOL Compounding Corp.,Tier 2/3,"Griffin, Spalding County","1020 Plantation Way, Griffin, GA 30224",Machinery Except Electrical,General Automotive
163,SK Battery America,Tier 1,"Ellabell, Bryan County","700 Hyundai Blvd, Ellabell, GA 31308",Transportation Equipment,Materials
164,SKF USA Inc.,Tier 1,"Ringgold, Catoosa County","301 David Fletcher Dr, Ringgold, GA 30736",Transportation Equipment,General Automotive
165,Jefferson Southern Corp.,Tier 1/2,"Commerce, Forsyth County","1 Jefferson Southern Dr, Commerce, GA 30529",Electronic and Other Electrical Equipment and Components,General Automotive
166,Southern Switches Corp.,Tier 1,"Dahlonega, Dawson County","715 Happy Hollow Rd, Dahlonega, GA 30533",Transportation Equipment,General Automotive
167,SRG Global Inc.,Tier 1,"Covington, Newton County","10116 Industrial Blvd NE, Covington, GA 30014",Transportation Equipment,General Automotive
168,Stryten Energy,Tier 1,"Alpharetta, Forsyth County","5925 Cabot Pkwy, Alpharetta, GA 30005",Transportation Equipment,General Automotive
169,Suhner Manufacturing Corp.,Tier 1,"Rome, Floyd County","43 Anderson Rd SW, Rome, GA 30161",Transportation Equipment,General Automotive
170,SungEel Recycling Park Georgia,Tier 2/3,"Duluth, Gwinnett County","3237 Satellite Blvd, Suite 175, Duluth, GA 30096",Miscellaneous Manufacturing Industries,Materials
171,Superior Essex Inc.,OEM,"Kennesaw, Cobb County","3600 Cobb International Blvd NW, Kennesaw, GA 30152",Transportation Equipment,Vehicle Assembly
172,Suzuki Manufacturing of America Corp.,OEM,"Rome, Cobb County","1000 McIntosh Trail SW, Rome, GA 30165",Transportation Equipment,Vehicle Assembly
173,TCI Powder Coatings,OEM,"Ellaville, Schley County","610 Dixon Dr, Ellaville, GA 31806",Transportation Equipment,Vehicle Assembly
174,TDK Components USA Inc.,OEM,"Silver Creek, Floyd County","4058 Rockmart Rd, Silver Creek, GA 30173",Transportation Equipment,Vehicle Assembly
175,TE Connectivity,OEM,"Kennesaw, Cobb County","3295 Cobb International Blvd NW, Kennesaw, GA 30152",Transportation Equipment,Vehicle Assembly
176,Teklas USA,OEM,"Calhoun, Gordon County","320 S Industrial Blvd, Calhoun, GA 30701",Transportation Equipment,Vehicle Assembly
177,Textron Specialized Vehicles,OEM,"Augusta, Richmond County","1451 Marvin Griffin Rd, Augusta, GA 30906",Transportation Equipment,Vehicle Assembly
178,Thermal Ceramics Inc.,OEM,"Augusta, Columbia County","2190 N Leg Rd, Augusta, GA 30909",Transportation Equipment,Vehicle Assembly
179,Thomson Plastics Inc.,OEM,"Monroe, Walton County","1440 H D Atha Rd, Monroe, GA 30656",Transportation Equipment,Vehicle Assembly
180,TI Fluid Systems,OEM,"Cartersville, Bartow County","2 Swisher Dr, Cartersville, GA 30120",Automotive safety systems and restraints,Vehicle safety systems OEM (EV + ICE)
181,TI Fluid Systems,OEM (Footprint),"Cartersville, Bartow County","2 Swisher Dr, Cartersville, GA 30120",Passenger vehicles (EV + ICE),OEM corporate footprint influencing EV strategy
182,Tie Down Engineering,OEM (Footprint),"Atlanta, Fulton County","605 Stonehill Dr SW, Atlanta, GA 30336",Heavy-duty trucks,OEM corporate and engineering footprint (electrification)
183,TN Americas Holding Inc.,OEM (Footprint),"Cumming, Forsyth County","2200 Pendley Rd, Cumming, GA 30041",Commercial vehicles and powertrains,OEM parent group footprint (EV + HD electrification)
184,Toyota Industries Group (TACG-TICA),OEM (Footprint),"Pendergrass, Hall County","1000 Valentine Industrial Pkwy, Pendergrass, GA 30567",Commercial vehicles and powertrains,OEM parent group footprint (electric truck strategy)
185,Trenton Pressing,OEM (Footprint),"Trenton, Dade County","505 N Industrial Blvd, Trenton, GA 30752","Commercial vehicles (Kenworth, Peterbilt)",OEM corporate footprint and supplier integration
